Name of Emp,Region,Department,Designation,Salary,HRA,DA,Gross Total,TDS,Net Sal
Raj,North,Finance,Manager,"4,789","2,395","3,592","10,775","1,078","9,698"
Kiran,South,Marketing,Assistant Manager,"4,700","2,350","3,525","10,575","1,058","9,518"
Shruti,North,Sales,Manager,"11,980","5,990","8,985","26,955","2,696","24,260"
Ram,East,HRD,Executive,"6,500","3,250","4,875","14,625","1,463","13,163"
Inder,South,Admin,GM,"5,689","2,845","4,267","12,800","1,280","11,520"
Shailen,West,Sales,Vice President,"5,798","2,899","4,349","13,046","1,305","11,741"
Goldy,South,HRD,AGM,"6,789","3,395","5,092","15,275","1,528","13,748"
Arpan,North,Sales,Manager,"13,980","6,990","10,485","31,455","3,146","28,310"
Golu,East,Admin,President,"5,467","2,734","4,100","12,301","1,230","11,071"
Kailash,South,Finance,GM,"8,978","4,489","6,734","20,201","2,020","18,180"
Amitabh,West,Sales,Executive,"7,890","3,945","5,918","17,753","1,775","15,977"
Raj Kapoor,South,CSD,Assistant Manager,"9,900","4,950","7,425","22,275","2,228","20,048"
Rishi,North,Sales,Manager,"17,980","8,990","13,485","40,455","4,046","36,410"
Rajinder,East,Marketing,Executive,"7,897","3,949","5,923","17,768","1,777","15,991"
Diljeet,South,Finance,AGM,"12,034","6,017","9,026","27,077","2,708","24,369"
